Nazwa punktu;WspolrzedneNS;WspolrzedneWE;Wysokosc n.p.m.;Data i czas dodania;Metadane
Warszawa;52.2297° N;21.0122° E;0.1;06.05.2024 12:00;kraj-Polska
Kraków;"50°03'53.0""N";"19°56'42.0""E";0.2;06.05.2024 12:05;kraj-Polska
Gda?sk;"54°21'07.2""E";"18°38'47.8""E";0.3;06.05.2024 12:10;kraj-Polska
Wroc?aw;51°06.47333' N;"17°02'18.6""E";0.4;06.05.2024 12:15;kraj-Polska
Pozna?;52.4064° N;16.9252° E;0.5;06.05.2024 12:20;kraj-Polska
?ód?;"51°45'33.1""N";"19°27'21.6""E";0.3;06.05.2024 12:25;kraj-Polska
Szczecin;53.7142° N;"14°32'51.0""E";0.2;06.05.2024 12:30;kraj-Polska
Katowice;50.2649° N;"19°01'25.7""E";0.4;06.05.2024 12:35;kraj-Polska
Gdynia;"54°31'08.0""N";"18°31'49.8""E";0.3;06.05.2024 12:40;kraj-Polska
Bydgoszcz;53.1235° N;"18°00'30.2""E";0.3;06.05.2024 12:45;kraj-Polska
